week,play_number,home_team,away_team,posteam,PHI_epa
1,1,PHI,GB,GB,-0.50222456
1,2,PHI,GB,GB,0.67173475
1,3,PHI,GB,GB,0.0994399
1,4,PHI,GB,GB,-2.5589213
1,5,PHI,GB,GB,0.14859623
1,6,PHI,GB,GB,0.8795381
1,7,PHI,GB,GB,0.0036476075
1,8,PHI,GB,GB,2.2300153
1,9,PHI,GB,GB,0.5153645
1,10,PHI,GB,GB,-0.593602
1,11,PHI,GB,PHI,-1.5051869
1,12,PHI,GB,PHI,-0.6649677
1,13,PHI,GB,PHI,-2.3895621
1,14,PHI,GB,GB,-0.4452039
1,15,PHI,GB,GB,0.46608946
1,16,PHI,GB,GB,1.1033726
1,17,PHI,GB,GB,0.4755085
1,18,PHI,GB,GB,-0.0024763849
1,19,PHI,GB,GB,-0.1609395
1,20,PHI,GB,PHI,-0.5920805
1,21,PHI,GB,PHI,-0.46905163
1,22,PHI,GB,PHI,-0.51045644
1,23,PHI,GB,PHI,-4.4945493
1,24,PHI,GB,GB,1.1243242
1,25,PHI,GB,GB,-0.2966312
1,26,PHI,GB,GB,-1.1801128
1,27,PHI,GB,GB,2.2305899
1,28,PHI,GB,GB,-2.9592335
1,29,PHI,GB,GB,1.5358219
1,30,PHI,GB,GB,-0.7082759
1,31,PHI,GB,GB,1.0042385
1,32,PHI,GB,GB,1.1695884
1,33,PHI,GB,GB,-0.041309603
1,34,PHI,GB,PHI,0.27462107
1,35,PHI,GB,PHI,-0.1342115
1,36,PHI,GB,PHI,0.3751545
1,37,PHI,GB,PHI,0.8938245
1,38,PHI,GB,PHI,-0.5391979
1,39,PHI,GB,PHI,0.9326541
1,40,PHI,GB,PHI,0.6401547
1,41,PHI,GB,PHI,0.0
1,42,PHI,GB,PHI,-0.5361034
1,43,PHI,GB,PHI,-1.1907908
1,44,PHI,GB,PHI,2.0756285
1,45,PHI,GB,PHI,0.6850227
1,46,PHI,GB,PHI,-0.82498014
1,47,PHI,GB,PHI,2.9783628
1,48,PHI,GB,PHI,0.067573
1,49,PHI,GB,GB,-0.26874644
1,50,PHI,GB,GB,0.5477284
1,51,PHI,GB,GB,-1.5197731
1,52,PHI,GB,GB,-0.08031371
1,53,PHI,GB,GB,-1.5538877
1,54,PHI,GB,GB,-3.380992
1,55,PHI,GB,GB,0.0
1,56,PHI,GB,GB,0.947
1,57,PHI,GB,PHI,0.20876023
1,58,PHI,GB,PHI,-0.61285794
1,59,PHI,GB,PHI,-0.70781446
1,60,PHI,GB,PHI,2.0433815
1,61,PHI,GB,PHI,-0.56916976
1,62,PHI,GB,PHI,2.3570156
1,63,PHI,GB,PHI,0.17512654
1,64,PHI,GB,PHI,0.11176006
1,65,PHI,GB,PHI,0.45480928
1,66,PHI,GB,PHI,2.3371804
1,67,PHI,GB,PHI,0.067573
1,68,PHI,GB,GB,-0.33179107
1,69,PHI,GB,GB,0.49079624
1,70,PHI,GB,GB,0.5990137
1,71,PHI,GB,GB,-6.7650485
1,72,PHI,GB,GB,0.0
1,73,PHI,GB,GB,-0.12208925
1,74,PHI,GB,PHI,-0.10679722
1,75,PHI,GB,PHI,-0.4765523
1,76,PHI,GB,PHI,0.9572122
